name,local,lon,lat,pagenum
CGV동탄,경기도 화성시 반송동 96 메타폴리스 A블럭 3층,127.068889,37.205,106
CGV청담씨네시티,서울특별시 강남구 신사동 651-21,127.0370092,37.522837,107
CGV대구스타디움,대구시 수성구 대흥동 504번지 일대,128.690203,35.8298301,108
CGV대구현대,대구광역시 중구 계산동2가 200번지 지하 2층,128.5907443,35.8662831,109
CGV천안펜타포트,충청남도 천안시 서북구 불당동 1289 펜타포트 5층,127.1014512,36.7999355,110
CGV여의도,서울특별시 영등포구 여의도동 국제금융로 10번지 국제금융센터 지하3층,126.931131,37.521074,112
CGV의정부,경기도 의정부시 의정부동 168-54 의정부역사 신세계백화점10층,127.0461568,37.7378009,113
CGV순천,전라남도 순천시 장천동 54-1번지 2층~6층(순천시청바로옆),127.4863822,34.9507475,114
CGV홍성(위),충청남도 홍성군 홍성읍 고암리 1042,126.6765497,36.6011474,115
CGV대구이시아,대구광역시 동구 봉무동 1545번지 롯데몰 3층,128.6373616,35.9215394,117
CGV인천공항,인천광역시 중구 운서동 2851 교통환승센터 내,126.4580914,37.4475485,118
CGV제주,제주특별자치도 ,126.4983023,33.4890113,121
CGV전주,전라북도 전주시 완산구 고사동 288-2(구 피카디리극장),127.1421773,35.821241,123
CGV동백,경기도 용인시 기흥구 중동 833번지 쥬네브썬월드빌딩,127.151605,37.2779159,124
CGV김포풍무,경기도 김포시 풍무동 38-1 홈플러스 지하1층,126.7236531,37.6099507,126
CGV대전터미널,대전 동구 용전동 ,127.4345552,36.3538993,127
CGV울산삼산,울산광역시 남구 삼산동 1569-1번지 업스퀘어 5~8층,129.3388522,35.5419818,128
CGV중계,서울특별시 노원구 중계동 509-2 홈플러스 중계점 8층,127.0686402,37.639815,131
CGV부산대,부산광역시 금정구 장전동 292-4,129.0881013,35.2301204,135
CGV강릉,강원도 강릉시 옥천동 189 씨네몰 6~8층,128.8986211,37.7556587,139
CGV인천연수,인천광역시 연수구 동춘동 926번지 스퀘어원 4층,126.6836042,37.4059072,141
CGV청주지웰시티,충청북도 청주시 흥덕구 복대동 288-14,127.4292284,36.6427051,142
CGV소풍,경기도 부천시 원미구 상동 539-1 뉴코아 6층,126.7564396,37.5041697,143
CGV원주,강원도 원주시 단계동 877-1 W-city(원주 시외버스 터미널) 7층,127.9308469,37.3448435,144
CGV화정,경기도 고양시 덕양구 화정동 966-1 씨네마플러스 3층,126.8331472,37.6356837,145
CGV대구한일,대구광역시 중구 동성로 2가 88-22 씨네시티한일 7층,128.5953778,35.8704973,147
CGV파주문산,경기도 파주시 문산읍 방촌로 1719-10(3층),126.7850346,37.8641616,148
CGV신촌아트레온,서울특별시 서대문구 창천동 20-25 아트레온 2층,126.940327,37.5564819,150
CGV대한,부산광역시 진구 부전동 199번지 대한프라자 4층,129.0588155,35.1568124,151
CGV대전가오,대전광역시 동구 가오동 557 패션아일랜드 4층,127.4579836,36.3069634,154
CGV범계,경기도 안양시 동안구 호계동 1039-3 뉴코아 아울렛 11층,126.9507525,37.3891207,155
CGV통영,경상남도 통영시 북신동 698-1 월드 GV-ZONE 5층,128.4255946,34.8572432,156
CGV대구수성,대구광역시 수성구 범물동 1273번지 동아백화점 8층,128.6404645,35.8211238,157
CGV화명,부산광역시 북구 화명동 2275-1 센츄리빌딩,129.0097862,35.2347732,159
CGV아시아드,부산광역시 연제구 거제2동 1208번지 홈플러스,129.064287,35.1913249,160
CGV하계,서울특별시 노원구 중계동 506-1 건영백화점 지하1층,127.0647295,37.6389443,164
CGV김포,경기도 김포시 사우동 928 김포아트프라자,126.7193351,37.6193654,177
CGV전주효자,전라북도 전주시 완산구 용머리로 45(Mall of Hyoja 2층),127.1256991,35.8078575,179
CGV판교,경기도 성남시 분당구 백현동 현대백화점 5층,127.091844,37.3801584,181
CGV광명철산,경기도 광명시 철산동 436,126.8696903,37.4749886,182
CGV청주터미널,충청북도 청주시 흥덕구 가경동 1416-3,127.4311188,36.6262123,183
CGV부평역,인천광역시 부평구 부평동 159-15 부평 일번가 6층,126.7168582,37.496316,184
CGV대구아카데미,대구광역시 중구 남일동 65-1,128.5943108,35.8699789,185
CGV정읍,전라북도 정읍시 수성동 525-1,126.8495555,35.5698187,186
CGV의정부태흥,경기도 의정부시 의정부동 494 센트럴타워 15층,127.0440529,37.737919,187
CGV김포운양,김포시 운양동 1296-11번지 에이스프라자 7층경기도 ,126.6832269,37.6593368,188
CGV춘천명동,강원도 춘천시 중앙로 67번길 18(브라운 5번가 6동),127.7279936,37.8769078,189
CGV평택비전,경기도 평택시 비전동 830-1 뉴코아아울렛 10층,127.1124638,36.9956096,190
CGV홍대,서울특별시 마포구 동교동 159-8,126.9226104,37.5564405,191
CGV광주상무,광주광역시 서구 치평동 1218-1 프리미엄아울렛 6층,126.8510607,35.15429,193
CGV부천역,경기도 부천시 원미구 심곡동 383-1 시네마존 6층,126.7810157,37.4858187,194
CGV평촌,경기도 안양시 동안구 관양동 1606번지 8층,126.96225,37.3929453,195
CGV서현,경기도 성남시 분당구 서현동 256번지 비전월드빌딩 1F,127.1224608,37.3873091,196
CGV인천논현,인천광역시 남동구 논현동 646-2 시네마타워 4층,126.7086243,37.4021906,197
CGV남주안,인천광역시 남구 주안동 141-8,126.6807453,37.4633367,198
CGV천호,서울시 강동구 양재대로 1571번지 홈플러스 4층,127.1411034,37.5374092,199
CGV안동,경상북도 안동시 경동로 841 CGV안동 3층,128.7551302,36.5548968,204
CGV이천,경기도 이천시 중리동 201-1 랜드마크ICC 4층,127.4440382,37.2798685,205
CGV유성노은,대전광역시 유성구 노은로 144 노은타운7층 CGV유성노은,127.3267353,36.3790869,206
CGV당진,충남 당진시 우두1로 88 (읍내동),126.6283278,36.8936109,207
CGV여수웅천,전라남도 여수시 웅천동 1720-3번지 2층~8층,127.6840325,34.7471249,208
CGV유성온천,"대전 유성구 봉명동 1016-7,8번지  5F",127.3454011,36.3531722,209
CGV광주용봉,광주광역시 북구 용봉동 17-1 하미스포렉스,126.9121044,35.1825953,210
CGV안산,경기도 안산시 단원구 고잔동 725-1 NC백화점 A관 6층,126.8310059,37.3134207,211
CGV해운대,부산광역시 해운대구 우동 539-10 라뮤에뜨 2층 CGV,129.1586606,35.1632319,212
CGV전주고사,전라북도 전주시 완산구 고사동 355-1번지,127.1424096,35.8206252,213
CGV홍성,충청남도 홍성군 홍성읍 고암리 1042번지,126.6765497,36.6011474,217
CGV광주첨단,광주광역시 광산구 쌍암동 첨단지구 내 롯데마트 옆,126.8507137,35.2177606,218
CGV세종,세종특별자치시 도움1로 108 몰리브 7층 CGV,127.246,36.5024,219
CGV피카디리1958,서울특별시 종로구 돈화문로5가길 1 (돈의동 137) 지하2층,126.9912945,37.5716102,223
CGV청주(서문),충청북도 청주시 상당구 서문동 29-2,127.486982,36.634912,228
